timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapterColdConstruction-2             	 2446767	       488.2 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-2             	 2452902	       491.4 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-2             	 2451882	       489.2 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-2             	 2447752	       487.2 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-2             	 2471036	       488.8 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-4             	 2530232	       478.0 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-4             	 2531536	       478.4 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-4             	 2513196	       478.4 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-4             	 2525534	       478.4 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction-4             	 2528409	       475.4 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdFirstRequest               	  117522	     10431 ns/op	   12503 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest               	  115046	     10226 ns/op	   12503 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest               	  115039	     10345 ns/op	   12503 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest               	  117486	     11304 ns/op	   12503 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest               	  117441	     10235 ns/op	   12503 B/op	     101 allocs/op
